name,price,domain_category,rating,tags,description,sub_category,diet_type
Classic Veggie Burger,8.99,Food & restaurants,4.7,"burger, veg, delicious, quick","Juicy plant-based patty with fresh lettuce, tomatoes, and special sauce.",Fast Food,Veg
Pepperoni Pizza Feast,14.99,Food & restaurants,4.8,"pizza, pepperoni, cheese, hot","Classic Italian crust loaded with premium pepperoni and mozzarella cheese.",Main Course,Non-Veg
Premium Noise-Cancelling Headphones,199.99,Shopping & products,4.9,"headphones, audio, wireless, music","Over-ear active noise cancelling headphones with 30-hour battery life.",Electronics,
Modern Coding Laptop,1299.99,Shopping & products,4.6,"laptop, computer, developer, fast","High-performance laptop perfect for coding, compilation, and multitasking.",Electronics,
Paris Vacation Tour,1499.00,Travel & places,4.5,"travel, europe, romance, holiday","Enjoy a 5-day tour of the city of lights, including Eiffel Tower visits.",Tours & Trips,
Interactive Java Masterclass,49.99,Education & courses,4.7,"education, java, coding, course","Learn Java from scratch with hands-on exercises and quizzes.",Online Courses,
Sci-Fi Movie Ticket,12.50,Entertainment,4.3,"movie, cinema, ticket, sci-fi","Get a ticket to the latest summer blockbuster in IMAX 3D.",Movies,
Wireless Gaming Mouse,79.99,Shopping & products,4.4,"mouse, gaming, wireless, rgb","Ultra-lightweight gaming mouse with customizable RGB lighting.",Electronics,
Vegan Avocado Toast,6.50,Food & restaurants,4.6,"breakfast, avocado, veg, healthy","Sourdough toast topped with mashed avocado, cherry tomatoes, and seeds.",Breakfast,Veg
Trekking Backpack 50L,89.99,Shopping & products,4.7,"backpack, travel, hiking, outdoor","Durable water-resistant backpack for long treks and outdoor adventures.",Outdoors,
